Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",1,35.0,15.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",2,50.0,12.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",3,50.0,12.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",4,50.0,12.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",5,50.0,12.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Goblet Squat (Kettlebell)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Leg Extension (Machine)",1,70.0,15.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Leg Extension (Machine)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Leg Extension (Machine)",2,100.0,12.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Leg Extension (Machine)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Leg Extension (Machine)",3,100.0,12.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Leg Extension (Machine)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Leg Extension (Machine)",4,120.0,12.0,0,0.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Leg Extension (Machine)",Rest Timer,0,0.0,0,60.0,
2025-04-16 17:21:45,"Afternoon Workout",1h 31m,"Seated Leg Curl (Machine)",1,70.0,20.0,0,0.0,
